Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_cn_sim_Split_(0.9, 0.1)_K_20_Lambda_0.3",cn_sim,0.9,0.1,0.3,20,0.7801129352990246,0.9877896822179989,0.6059701492537313,0.705699519653257
"Name_k_faction_sim_Split_(0.9, 0.1)_K_20_Lambda_0.4",k_faction_sim,0.9,0.1,0.4,20,0.8111038903621149,1.0308206701999503,0.5921928817451206,0.6955417475282166
"Name_cn_sim_Split_(0.9, 0.1)_K_20_Lambda_0.4",cn_sim,0.9,0.1,0.4,20,0.7823688680590639,0.9894590009337603,0.6073478760045924,0.7064555058313723
"Name_k_faction_sim_Split_(0.9, 0.1)_K_20_Lambda_0.5",k_faction_sim,0.9,0.1,0.5,20,0.8124575359192607,1.0324156543384295,0.5917336394948336,0.6939905384999696
"Name_cn_sim_Split_(0.9, 0.1)_K_20_Lambda_0.5",cn_sim,0.9,0.1,0.5,20,0.784562855460654,0.9915993490359014,0.6039035591274398,0.7029418741926581
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_20",KNN-Cosine,0.9,0.1,N/A,20,0.771568945532894,0.974357407999199,0.6034443168771527,0.7061913985776196
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_20",KNN-Pearson,0.9,0.1,N/A,20,0.7588969118668395,0.9677091227688331,0.6082663605051665,0.7084598141907955
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.1",k_faction_sim,0.9,0.1,0.1,30,0.8075085650724126,1.0280405444317737,0.5928817451205511,0.6942753235021092
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.1",cn_sim,0.9,0.1,0.1,30,0.777341500426308,0.9861683980547341,0.6089552238805971,0.7079806893969622
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,30,0.8085791826412273,1.0283542266155254,0.5931113662456946,0.6961740382359694
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.2",cn_sim,0.9,0.1,0.2,30,0.7782562509326408,0.9863535751532159,0.6082663605051665,0.7073726045188353
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.3",k_faction_sim,0.9,0.1,0.3,30,0.8100377125804793,1.0290989110014626,0.5912743972445464,0.6938992172260995
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.3",cn_sim,0.9,0.1,0.3,30,0.7795968444353786,0.9873108214253992,0.608036739380023,0.7079665793665415
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.4",k_faction_sim,0.9,0.1,0.4,30,0.8111326469507678,1.029855394205846,0.5926521239954077,0.6951768702402622
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.4",cn_sim,0.9,0.1,0.4,30,0.7820045411694622,0.9892384670081577,0.6050516647531573,0.7056517762009054
"Name_k_faction_sim_Split_(0.9, 0.1)_K_30_Lambda_0.5",k_faction_sim,0.9,0.1,0.5,30,0.8123857381803644,1.0312495116424385,0.5908151549942595,0.6933229246578436
"Name_cn_sim_Split_(0.9, 0.1)_K_30_Lambda_0.5",cn_sim,0.9,0.1,0.5,30,0.783733315446252,0.9906789479052196,0.6057405281285878,0.7052409403853622
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_30",KNN-Cosine,0.9,0.1,N/A,30,0.7661611641833023,0.9674416256896587,0.6121699196326063,0.7129290116161288
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_30",KNN-Pearson,0.9,0.1,N/A,30,0.7539710643717381,0.9620375006447516,0.6146957520091849,0.7110836516422661
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.1",k_faction_sim,0.9,0.1,0.1,40,0.8093315507279398,1.028980775541045,0.5931113662456946,0.69445060792893
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.1",cn_sim,0.9,0.1,0.1,40,0.7778107672020866,0.9866246582713919,0.6094144661308841,0.7080656766446934
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,40,0.809258438432329,1.0286488817398434,0.5944890929965556,0.6964206203953733
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.2",cn_sim,0.9,0.1,0.2,40,0.7789344640270589,0.9870965942985163,0.6084959816303099,0.707048377951109
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.3",k_faction_sim,0.9,0.1,0.3,40,0.8101397356958605,1.0291513238995502,0.5924225028702642,0.6955518668162641
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.3",cn_sim,0.9,0.1,0.3,40,0.7805759929486502,0.9882311927775891,0.6061997703788748,0.7052317647488336
